Materias o asignaturas;Abreviatura;Nombre largo;Departamento;Es de tutoría;Prof. Técnico;Lectivas;Clave externa;Se imparte en cursos
1 ASIR FHW;1 ASIR FHW;1 ASIR Fundamentos Hardware;<ninguno>;;;3;;1 ASIR, 2 PCPI, 4 ESO
1 ASIR FOL;1 ASIR FOL;1 ASIR Formación y Orientación Laboral;<ninguno>;;;3;;1 ASIR
1 ASIR GBD;1 ASIR GBD;1 ASIR Gestión de Bases de Datos;<ninguno>;;;6;;1 ASIR
1 ASIR ISO;1 ASIR ISO;1 ASIR Implantación de Sistemas Operativos;<ninguno>;;;7;;1 ASIR
1 ASIR PAR;PAR;1 ASIR Planificación y Administración de Redes;<ninguno>;;;7;;1 ASIR
1 DAM BD;1 DAM BD;1 DAM BASES DE DATOS;<ninguno>;;;6;;1 DAM/DAW
1 DAM ED;1 DAM ED;1 DAM ENTORNOS DE DESARROLLO;<ninguno>;;;4;;1 DAM/DAW
1 DAM FOL;1 DAM FOL;1 DAM FORMACIÓN Y ORIENTACIÓN LABORAL;<ninguno>;;;3;;1 DAM/DAW
1 DAM LMSGI;1 DAM LMSGI;1 DAM Lenguajes de Macas y Sistemas de Gestión de;<ninguno>;;;4;;1 DAM/DAW
1 DAM PROG;1 DAM PROG;1 DAM PROGRAMACIÓN;<ninguno>;;;7;;1 DAM/DAW
1 DAM SI;1 DAM SI;1 DAM SISTEMAS INFORMÁTICOS;<ninguno>;;;6;;1 DAM/DAW
1 FPB CA;1 FPB CA;1 FPB Ciencias Aplicadas;<ninguno>;;;5;;1 FPB
1 FPB CS;1 FPB CS;1 FPB Comunicación y Sociedad;<ninguno>;;;5;;1 FPB
1 FPB ING;1 FPB ING;1FPB Inglés;<ninguno>;;;2;;1 FPB
1 FPB MMS;1 FPB MMS;1 FPB Montaje y Mantenimiento de Sistemas;<ninguno>;;;10;;1 FPB
1 FPB OAC;1 FPB OAC;1 FPB Operaciones Auxiliares de Configuración;<ninguno>;;;7;;1 FPB
1 FPB TUT;1 FPB TUT;1 FPB Tutoría;<ninguno>;*;;1;;1 FPB
1 SMR AO;AO;1º FPGM (SMR) Aplic Ofimaticas;<ninguno>;;;9;11726;1 SMR
1 SMR FOL;FOL;1º FPGM (SMR) Formación y Orientación Laboral;<ninguno>;;;3;22808;1 SMR
1 SMR RL;RL;1º FPGM (SMR)  Redes Locales;<ninguno>;;;7;11724;1 SMR
1 SMR SEG;SEG;1º FPGM (SMR) Seguridad;<ninguno>;;;6;11725;1 SMR
1 SMR SOM;SOM;1º FPGM (SMR) Sistemas Operativos;<ninguno>;;;5;11727;1 SMR
1ASIR LM;1ASIR LM;1ASIR Lenguajes de Marcas;<ninguno>;;;4;;1 ASIR
2 ASIR ASGBD;ASGBD;2º FPGS (ASIR) Admon de Sistemas Gestores de BBDD;<ninguno>;;;4;;2 ASIR
2 ASIR ASO;ASO;2º FPGS (ASIR) Admon. de Sistemas Operativos;<ninguno>;;;8;7721;2 ASIR
2 ASIR EIE;EIE;2º FPGS (ASIR) Empresa e Iniciativa Emprendedora;<ninguno>;;;3;7718;2 ASIR
2 ASIR FCT;FCT;2º FPGS (ASIR) Formación en Centros de Trabajo;<ninguno>;;;;7717;2 ASIR
2 ASIR IAW;IAW;2º FPGS (ASIR) Implantación de Aplicaciones Web;<ninguno>;;;5;7720;2 ASIR
2 ASIR SAD;SAD;2º FPGS (ASIR) Seguridad y Alta Disponibilidad;<ninguno>;;;4;;2 ASIR
2 ASIR SERI;SERI;2º FPGS (ASIR) Servicios de Red e Internet;<ninguno>;;;6;7722;2 ASIR
2 DAM AD;AD;2º FPGS (DAM) Acceso a Datos;<ninguno>;;;7;7715;2 DAM
2 DAM DI;DI;2º FPGS (DAM) Desarrollo de Interfaces;<ninguno>;;;7;;2 DAM
2 DAM EIE;EIE;2º FPGS (DAM) Empresa e Iniciativa Emprendedora;<ninguno>;;;;;2 DAM
2 DAM PMME;PMME;2º FPGS (DAM) Programación Multimedia y Disp. Móv.;<ninguno>;;;5;;2 DAM
2 DAM PROY;2 DAM PROY;2º FPGS (DAM) Proyecto;<ninguno>;;;;;
2 DAM PSP;PSP;2º FPGS (DAM) Programación de Servicios y Procesos;<ninguno>;;;4;7714;2 DAM
2 DAM SGE;SGE;2º FPGS (DAM) Sistemas de Gestión Empresarial;<ninguno>;;;4;7716;2 DAM
2 DAW DAWEB;2 DAW DAWEB;2 DAW Despliegue de Aplicaciones Web;<ninguno>;;;5;;2 DAW
