Profesor1,"HªFIL-2BACH
2º BACH B
(AULA 2BBach)","GUARDIA
Guardia","GUARDIA
G. Biblio","FIL-1BACH
1º BACH C
(AULA 1CBach)","VE-4ESO
4º ESO B
(AULA 4B)","VE-3ESO
3º ESO B
(D2)",,,,,,,,"HªFIL-2BACH
2º BACH C
(AULA 2CBach)","GUARDIA
Guardia","VE-3ESO
3º ESO D
(D5)","VE-3ESO
3º ESO A
(AULA 3A)
3ºD PMAR",,"FIL-1BACH
1º BACH C
(AULA 1CBach)",,,,,,,,,,,"REUNIÓN
DEPFIL","HªFIL-2BACH
2º BACH C
(AULA 2CBach)","VE-3ESO
3º ESO C
(D5)",,,,,,,,"HªFIL-2BACH
2º BACH B
(AULA 2BBach)","ED-DH - 2ESO
2º ESO B
(AULA 2B)","ED-DH - 2ESO
2º ESO A
(AULA 2A)","2PMAR -ED-DH
2ºD PMAR
(AULA 2D PMAR)",,,,,,,,,,"HªFIL-2BACH
2º BACH C
(AULA 2CBach)","HªFIL-2BACH
2º BACH B
(AULA 2BBach)",,"VE-4ESO
4º ESO D
(D5)","VE-4ESO
4º ESO C
(D5)
4ºPRAGE","FIL-1BACH
1º BACH C
(AULA 1CBach)",,,,,,,
Profesor2,"Mat 1Bach G1
1º BACH B
(AULA 1BBach)","Mat 2Bach
2º BACH B
(AULA 2BBach)",,"MAT.AC-3ESO
3º ESO A
(AULA 3A)","GUARDIA
G. Biblio","MAT-1ESO
1º ESO B
(AULA 1B)","REUNIÓN
DEPMAT",,,,,,,,,"MAT.AC-3ESO
3º ESO A
(AULA 3A)","MAT-1ESO
1º ESO B
(AULA 1B)","Mat 2Bach
2º BACH B
(AULA 2BBach)","Mat 1Bach G1
1º BACH B
(AULA 1BBach)",,,,,,,,,,,,"Mat 1Bach G1
1º BACH B
(AULA 1BBach)","MAT-1ESO
1º ESO B
(AULA 1B)",,,,,,,,"MAT-1ESO
1º ESO B
(AULA 1B)","MAT.AC-3ESO
3º ESO A
(AULA 3A)","REUNIÓN
R.Tut.ESO3-4","RMA-1ESO-G1
1º ESO A
(D1)
1º ESO C
1º ESO B","Mat 2Bach
2º BACH B
(AULA 2BBach)","TUT-3ESO
3º ESO A
(AULA 3A)",,,,,,,,"Mat 1Bach G1
1º BACH B
(AULA 1BBach)","MAT.AC-3ESO
3º ESO A
(AULA 3A)",,"MAT-1ESO
1º ESO B
(AULA 1B)","GUARDIA
Guardia","Mat 2Bach
2º BACH B
(AULA 2BBach)",,,,,,,
Profesor3,,,,,,,,,,,,,,,,,,,,,,,"ING-1BNoc
1BN-MIXTO
(Aula-1BN-HCS)
1BN-HCS",,"ING-2BNoc
2BN-HCS
(Aula-2BN-HCS)",,,,,,,,,,"ING-2BNoc
2BN-MIXTO
(Aula-2BN-MIXTO)","ING-2BNoc
2BN-HCS
(Aula-2BN-HCS)",,,,,,,,,,"REUNIÓN
DEPING",,"ING-1BNoc
1BN-MIXTO
(Aula-1BN-HCS)
1BN-HCS","ING-2BNoc
2BN-HCS
(Aula-2BN-HCS)","ING-2BNoc
2BN-MIXTO
(Aula-2BN-MIXTO)",,,,,,,,,,,,"ING-1BNoc
1BN-MIXTO
(Aula-1BN-HCS)
1BN-HCS","ING-2BNoc
2BN-MIXTO
(Aula-2BN-MIXTO)",,
Profesor4,,,,,"PMME
2DAM
(IFC-2)","1 DAM LMSGI
1DAM/DAW
(IFC-1)","REUNIÓN
DEPINF",,,,,,,,,,"1 DAM LMSGI
1DAM/DAW
(IFC-1)","1 DAM LMSGI
1DAM/DAW
(IFC-1)",,,,,,,,,,,,,,"1 DAM LMSGI
1DAM/DAW
(IFC-1)",,,,,,,,,,,,"PMME
2DAM
(IFC-2)","PMME
2DAM
(IFC-2)",,,,,,,,,,,,"PMME
2DAM
(IFC-2)","PMME
2DAM
(IFC-2)",,,,,,,
Profesor5,"LCL-2BACH
2º BACH C
(AULA 2CBach)",,"LCL-1BACH
1º BACH B
(AULA 1BBach)","LCL-2ESO
2º ESO D
(AULA 2D)",,,,,,,,,,,,"LCL-2ESO
2º ESO D
(AULA 2D)","GUARDIA
G. Biblio","LCL-4ESO
4º ESO D
(INF2)",,,,,,,,,"LCL-4ESO
4º ESO D
(AULA 4D)","RLE-2ESO-G1
2º ESO A
(DPTO LENGUA)
2º ESO B","LCL-2BACH
2º BACH C
(AULA 2CBach)","LCL-1BACH
1º BACH B
(AULA 1BBach)",,"LCL-2ESO
2º ESO D
(AULA 2D)",,,,,,,,"LCL-2BACH
2º BACH C
(AULA 2CBach)","ED-DH - 2ESO
2º ESO B
(INF1)","REUNIÓN
R.Tut.ESO3-4","LCL-1BACH
1º BACH B
(AULA 1BBach)",,"LCL-4ESO
4º ESO D
(INF2)","REUNIÓN
DEPLCL",,,,,,,"LCL-2ESO
2º ESO D
(AULA 2D)","LCL-4ESO
4º ESO D
(INF2)",,"LCL-2BACH
2º BACH C
(AULA 2CBach)","LCL-1BACH
1º BACH B
(AULA 1BBach)","TUT-4ESO
4º ESO D
(AULA 4D)",,,,,,,
Profesor6,"2 FPB OAD
2FPB
(AULA FPB 2º)","2 FPB OAD
2FPB
(AULA FPB 2º)","1 FPB OAC
1FPB
(AULA FPB 1º)","1 FPB OAC
1FPB
(AULA FPB 1º)",,,"REUNIÓN
DEPINF",,,,,,,,,"1 FPB OAC
1FPB
(AULA FPB 1º)","GUARDIA
Guardia","2 FPB OAD
2FPB
(AULA FPB 2º)","2 FPB OAD
2FPB
(AULA FPB 2º)",,,,,,,,,"2 FPB OAD
2FPB
(AULA FPB 2º)","2 FPB OAD
2FPB
(AULA FPB 2º)","1 FPB OAC
1FPB
(AULA FPB 1º)","1 FPB OAC
1FPB
(AULA FPB 1º)",,,,,,,,,,,"1 FPB OAC
1FPB
(AULA FPB 1º)","1 FPB OAC
1FPB
(AULA FPB 1º)","GUARDIA
Guardia","2 FPB OAD
2FPB
(AULA FPB 2º)",,,,,,,,"GUARDIA
Guardia","REUNIÓN
R.Tut. CCFF",,"2 FPB OAD
2FPB
(AULA FPB 2º)","2 FPB OAD
2FPB
(AULA FPB 2º)","2 FPB TUT
2FPB
(AULA FPB 2º)",,,,,,,
Profesor7,"LCL-2ESO
2º ESO A
(AULA 2A)",,"RLE-2ESO-G1
2º ESO D
(DPTO LENGUA)","LCL-3ESO
3º ESO D
(AULA 3D)","1 FPB CS
1FPB
(AULA FPB 1º)",,,,,,,,,,"1 FPB CS
1FPB
(AULA FPB 1º)","LCL-2ESO
2º ESO A
(AULA 2A)","LCL-3ESO
3º ESO D
(AULA 3D)","LCL-3ESO
3º ESO A
(AULA 3A)",,,,,,,,,"LCL-2ESO
2º ESO A
(AULA 2A)","LCL-3ESO
3º ESO D
(AULA 3D)","1 FPB CS
1FPB
(AULA FPB 1º)",,"GUARDIA
G. Biblio","LCL-3ESO
3º ESO A
(AULA 3A)",,,,,,,,,"1 FPB CS
1FPB
(AULA FPB 1º)","REUNIÓN
R.Tut.ESO3-4","LCL-3ESO
3º ESO A
(AULA 3A)",,"TUT-3ESO
3º ESO D
(AULA 3D)","REUNIÓN
DEPLCL",,,,,,,,"LCL-2ESO
2º ESO A
(AULA 2A)","LCL-3ESO
3º ESO A
(AULA 3A)",,"LCL-3ESO
3º ESO D
(AULA 3D)","1 FPB CS
1FPB
(AULA FPB 1º)",,,,,,,
Profesor8,,,"FRA2-2ESO
2º ESO C
(AULA 2C)
2º ESO D","GUARDIA
Guardia","FRA2-1ESO
1º ESO A
(AULA 1A)","FRA1-4ESO
4º ESO C
(DPTO FRANCÉS)
4ºPRAGE
4º ESO D",,,,,,,,,"FRA1-4ESO
4º ESO C
(DPTO FRANCÉS)
4ºPRAGE
4º ESO D","REUNIÓN
DEPFR","FRA2-4ESO G1
4º ESO A
(AULA 4A)
4º ESO B",,"FRA1-2ESO
2º ESO C
(DPTO FRANCÉS)
2º ESO D",,,,"FRA1-1BNoc
1BN-HCS
(Aula-1BN-MIXTO)
1BN-MIXTO",,,,,"FRA2-2ESO
2º ESO A
(AULA 2A)","FRA2-4ESO G1
4º ESO A
(AULA 4A)
4º ESO B","FRA1-4ESO
4º ESO C
(DPTO FRANCÉS)
4ºPRAGE
4º ESO D","FRA1-2ESO
2º ESO C
(DPTO FRANCÉS)
2º ESO D","GUARDIA
G. Biblio",,,,,,,,,"FRA1-4ESO
4º ESO C
(DPTO FRANCÉS)
4ºPRAGE
4º ESO D","FRA1-2ESO
2º ESO C
(D5)
2º ESO D","FRA2-1ESO
1º ESO A
(AULA 1A)","GUARDIA
Guardia","FRA2-2ESO
2º ESO C
(AULA 2C)
2º ESO D",,,"FRA1-1BNoc
1BN-HCS
(Aula-1BN-MIXTO)
1BN-MIXTO",,,,,,,"FRA1-2ESO
2º ESO C
(DPTO FRANCÉS)
2º ESO D",,"FRA2-2ESO
2º ESO A
(AULA 2A)","GUARDIA
Guardia",,,,"FRA1-1BNoc
1BN-HCS
(Aula-1BN-MIXTO)
1BN-MIXTO",,,
Profesor9,,,,,,,"REUNIÓN
DEPINF",,,,,,,"SOR
2SMR
(IFC-4)","SOR
2SMR
(IFC-4)",,,,,,,,,,,,,,,,,,,,,,,,,,"SOR
2SMR
(IFC-4)","SOR
2SMR
(IFC-4)",,,,,,,,,,,"SOR
2SMR
(IFC-4)","SOR
2SMR
(IFC-4)",,,,,,,,,,,
Profesor10,"GH-2ESO
2º ESO B
(AULA 2B)",,"HªESP-2BACH
2º BACH A
(AULA 2ABach)",,"HArt2BachG1
2º BACH C
(DPTO GH)
2º BACH D",,"REUNIÓN
DEPGH",,,,,,,,"VE-1ESO
1º ESO D
(INF1)","HArt2BachG1
2º BACH C
(DPTO GH)
2º BACH D","GH-2ESO
2º ESO B
(AULA 2B)","HªESP-2BACH
2º BACH A
(AULA 2ABach)",,,,,,,,,"GH-2ESO
2º ESO B
(AULA 2B)",,,"HArt2BachG1
2º BACH C
(D2)
2º BACH D",,"HªESP-2BACH
2º BACH A
(AULA 2ABach)",,,,,,,,,,,,,"CCP
REUNIÓN
(BIBLIOTECA)",,,,,,,,,"HArt2BachG1
2º BACH C
(DPTO GH)
2º BACH D",,"GH-2ESO
2º ESO B
(AULA 2B)",,"HªESP-2BACH
2º BACH A
(AULA 2ABach)",,,,,,,
